ZipCode,City,MixedCity,StateCode,StateFIPS,County,MixedCounty,CountyFIPS,Latitude,Longitude,GMT,DST
00501,HOLTSVILLE,Holtsville,NY,36,SUFFOLK,Suffolk,103,40.8154,-73.0456,5,Y
00544,HOLTSVILLE,Holtsville,NY,36,SUFFOLK,Suffolk,103,40.8154,-73.0456,5,Y
00601,ADJUNTAS,Adjuntas,PR,72,ADJUNTAS,Adjuntas,001,18.196747,-66.736735,4,N
00602,AGUADA,Aguada,PR,72,AGUADA,Aguada,003,18.352927,-67.177532,4,N
00603,AGUADILLA,Aguadilla,PR,72,AGUADILLA,Aguadilla,005,18.458585,-67.129867,4,N
00604,AGUADILLA,Aguadilla,PR,72,AGUADILLA,Aguadilla,005,18.488773,-67.147741,4,N
00605,AGUADILLA,Aguadilla,PR,72,AGUADILLA,Aguadilla,005,18.4289,-67.1538,4,N
00606,MARICAO,Maricao,PR,72,MARICAO,Maricao,093,18.166734,-66.939233,4,N
00610,ANASCO,Anasco,PR,72,ANASCO,Anasco,011,18.286779,-67.143877,4,N
00611,ANGELES,Angeles,PR,72,UTUADO,Utuado,141,18.2856,-66.9698,4,N
00612,ARECIBO,Arecibo,PR,72,ARECIBO,Arecibo,013,18.388009,-66.665279,4,N
00613,ARECIBO,Arecibo,PR,72,ARECIBO,Arecibo,013,18.4744,-66.7163,4,N
00614,ARECIBO,Arecibo,PR,72,ARECIBO,Arecibo,013,18.4744,-66.7163,4,N
00616,BAJADERO,Bajadero,PR,72,ARECIBO,Arecibo,013,18.405484,-66.671233,4,N
00617,BARCELONETA,Barceloneta,PR,72,BARCELONETA,Barceloneta,017,18.429792,-66.558109,4,N
00622,BOQUERON,Boqueron,PR,72,CABO ROJO,Cabo Rojo,023,17.992876,-67.153699,4,N
00623,CABO ROJO,Cabo Rojo,PR,72,CABO ROJO,Cabo Rojo,023,18.083781,-67.152624,4,N
00624,PENUELAS,Penuelas,PR,72,PENUELAS,Penuelas,111,18.072797,-66.724825,4,N
00627,CAMUY,Camuy,PR,72,CAMUY,Camuy,027,18.425195,-66.867756,4,N
00631,CASTANER,Castaner,PR,72,LARES,Lares,081,18.224554,-66.867756,4,N
00636,ROSARIO,Rosario,PR,72,SAN GERMAN,San German,125,18.1647,-67.0797,4,N
00637,SABANA GRANDE,Sabana Grande,PR,72,SABANA GRANDE,Sabana Grande,121,18.077592,-66.939232,4,N
00638,CIALES,Ciales,PR,72,CIALES,Ciales,039,18.299662,-66.498579,4,N
00641,UTUADO,Utuado,PR,72,UTUADO,Utuado,141,18.279721,-66.689096,4,N
00646,DORADO,Dorado,PR,72,DORADO,Dorado,051,18.459098,-66.272418,4,N
00647,ENSENADA,Ensenada,PR,72,GUANICA,Guanica,055,17.97252,-66.945189,4,N
00650,FLORIDA,Florida,PR,72,FLORIDA,Florida,054,18.363009,-66.558109,4,N
00652,GARROCHALES,Garrochales,PR,72,ARECIBO,Arecibo,013,18.451909,-66.599784,4,N
00653,GUANICA,Guanica,PR,72,GUANICA,Guanica,055,17.982516,-66.891581,4,N
00656,GUAYANILLA,Guayanilla,PR,72,GUAYANILLA,Guayanilla,059,18.037324,-66.796287,4,N
00659,HATILLO,Hatillo,PR,72,HATILLO,Hatillo,065,18.416025,-66.796287,4,N
00660,HORMIGUEROS,Hormigueros,PR,72,HORMIGUEROS,Hormigueros,067,18.138245,-67.111993,4,N
00662,ISABELA,Isabela,PR,72,ISABELA,Isabela,071,18.45613,-67.02263,4,N
00664,JAYUYA,Jayuya,PR,72,JAYUYA,Jayuya,073,18.210309,-66.581923,4,N
00667,LAJAS,Lajas,PR,72,LAJAS,Lajas,079,18.010034,-67.02263,4,N
00669,LARES,Lares,PR,72,LARES,Lares,081,18.291418,-66.867756,4,N
00670,LAS MARIAS,Las Marias,PR,72,LAS MARIAS,Las Marias,083,18.239633,-66.986887,4,N
00674,MANATI,Manati,PR,72,MANATI,Manati,091,18.433168,-66.498579,4,N
00676,MOCA,Moca,PR,72,MOCA,Moca,099,18.385559,-67.082204,4,N
00677,RINCON,Rincon,PR,72,RINCON,Rincon,117,18.331739,-67.231158,4,N
00678,QUEBRADILLAS,Quebradillas,PR,72,QUEBRADILLAS,Quebradillas,115,18.431293,-66.915406,4,N
00680,MAYAGUEZ,Mayaguez,PR,72,MAYAGUEZ,Mayaguez,097,18.210009,-67.106035,4,N
00681,MAYAGUEZ,Mayaguez,PR,72,MAYAGUEZ,Mayaguez,097,18.1211,-67.0824,4,N
00682,MAYAGUEZ,Mayaguez,PR,72,MAYAGUEZ,Mayaguez,097,18.220812,-67.147741,4,N
00683,SAN GERMAN,San German,PR,72,SAN GERMAN,San German,125,18.099194,-67.02263,4,N
00685,SAN SEBASTIAN,San Sebastian,PR,72,SAN SEBASTIAN,San Sebastian,131,18.316188,-66.974973,4,N
00690,SAN ANTONIO,San Antonio,PR,72,AGUADILLA,Aguadilla,005,18.50189,-67.097099,4,N
00692,VEGA ALTA,Vega Alta,PR,72,VEGA ALTA,Vega Alta,143,18.4018,-66.343828,4,N
00687,MOROVIS,Morovis,PR,72,MOROVIS,Morovis,101,18.322194,-66.415246,4,N
00688,SABANA HOYOS,Sabana Hoyos,PR,72,ARECIBO,Arecibo,013,18.349991,-66.629553,4,N
00717,PONCE,Ponce,PR,72,PONCE,Ponce,113,18.000417,-66.614669,4,N
00718,NAGUABO,Naguabo,PR,72,NAGUABO,Naguabo,103,18.25005,-65.784727,4,N
00719,NARANJITO,Naranjito,PR,72,NARANJITO,Naranjito,105,18.278197,-66.248617,4,N
00720,OROCOVIS,Orocovis,PR,72,OROCOVIS,Orocovis,107,18.20454,-66.450958,4,N
